date,open,high,low,close,volume
2024-12-05 00:00:00+00:00,739.54,739.8,734.86,735.86,8590.278
2024-12-05 00:15:00+00:00,735.86,738.21,731.01,733.47,11399.536
2024-12-05 00:30:00+00:00,733.46,737.39,727.44,727.64,19463.925
2024-12-05 00:45:00+00:00,727.64,729.17,718.13,718.89,19974.518
2024-12-05 01:00:00+00:00,718.89,719.82,694.53,697.76,76828.486
2024-12-05 01:15:00+00:00,697.75,704.68,690.0,700.52,50577.114
2024-12-05 01:30:00+00:00,700.52,706.95,697.97,704.3,25625.403
2024-12-05 01:45:00+00:00,704.3,708.0,702.75,702.76,17433.966
2024-12-05 02:00:00+00:00,702.76,708.08,701.48,707.65,18660.383
2024-12-05 02:15:00+00:00,707.65,712.6,707.64,712.6,20553.617
2024-12-05 02:30:00+00:00,712.6,725.3,712.28,722.61,33204.222
2024-12-05 02:45:00+00:00,722.6,724.19,717.5,721.75,21192.3
2024-12-05 03:00:00+00:00,721.76,724.99,716.1,720.72,35399.025
2024-12-05 03:15:00+00:00,720.72,726.06,719.92,721.01,23190.003
2024-12-05 03:30:00+00:00,721.02,722.6,715.52,717.79,15576.337
2024-12-05 03:45:00+00:00,717.79,718.2,711.6,714.29,19483.156
2024-12-05 04:00:00+00:00,714.3,722.5,713.2,722.24,11384.7
2024-12-05 04:15:00+00:00,722.23,725.9,720.3,724.52,9734.677
2024-12-05 04:30:00+00:00,724.52,730.0,724.37,729.3,9740.611
2024-12-05 04:45:00+00:00,729.29,730.68,725.15,725.78,8102.398
2024-12-05 05:00:00+00:00,725.79,727.0,723.72,724.81,7725.358
2024-12-05 05:15:00+00:00,724.81,739.9,724.37,731.47,33721.903
2024-12-05 05:30:00+00:00,731.48,731.7,720.0,721.61,11202.036
2024-12-05 05:45:00+00:00,721.61,723.8,718.13,723.46,8827.105
2024-12-05 06:00:00+00:00,723.47,724.48,721.0,721.17,7378.646
2024-12-05 06:15:00+00:00,721.16,724.69,717.01,724.69,7905.092
2024-12-05 06:30:00+00:00,724.69,724.76,721.15,723.55,5928.817
2024-12-05 06:45:00+00:00,723.56,723.65,720.7,722.11,3152.371
2024-12-05 07:00:00+00:00,722.11,725.98,721.74,724.85,6892.914
2024-12-05 07:15:00+00:00,724.85,728.4,722.1,727.72,7172.455
2024-12-05 07:30:00+00:00,727.72,729.46,726.74,727.2,7612.107
2024-12-05 07:45:00+00:00,727.21,731.38,727.2,729.61,6650.283
2024-12-05 08:00:00+00:00,729.6,733.24,727.09,733.24,9731.727
2024-12-05 08:15:00+00:00,733.24,738.0,732.84,736.53,12455.783
2024-12-05 08:30:00+00:00,736.52,737.46,733.68,734.18,9089.131
2024-12-05 08:45:00+00:00,734.19,735.0,731.32,731.93,7797.756
2024-12-05 09:00:00+00:00,731.93,732.99,729.42,731.58,5097.827
