symbol,return_pct,sharpe,max_drawdown,win_rate,num_trades,avg_trade,best_trade,worst_trade,profit_factor,expectancy
BTC/USDT,0.0,,-0.0,,0,,,,,
BNB/USDT,-42.64131445413887,-6.6086929111673935,-43.821865954198245,34.35114503816794,131,-0.446812764440252,2.9743667272970766,-2.835350413099416,0.3345974224184944,-0.4428605926635315
LTC/USDT,-41.65119773894085,-4.585299534304242,-47.896842605021206,31.451612903225808,124,-0.4577212148918819,3.251966240199259,-2.381565723896688,0.49823387657811735,-0.44864138827203265
SOL/USDT,-47.71016701529642,-5.398295395586913,-49.33093539094735,33.83458646616541,133,-0.5134213654653053,3.3650575929343582,-4.375143814205747,0.4555387455142132,-0.5040353492053621
